state,year_range,sex,rank,cause_of_death,deaths,deaths_percent,crude_rate_per_100000,age_standardised_rate_per_100000
Victoria,2019-2023,Persons,1,Coronary heart disease (I20-I25),21216,9.7,64,47.9
Victoria,2019-2023,Persons,2,"Dementia including Alzheimer's disease (F01, F03, G30)",18411,8.4,55.5,38.9
Victoria,2019-2023,Persons,3,Cerebrovascular disease (I60-I69),11654,5.3,35.2,25.8
Victoria,2019-2023,Persons,4,"Lung cancer (C33, C34)",10707,4.9,32.3,25.7
Victoria,2019-2023,Persons,5,Chronic obstructive pulmonary disease (COPD) (J40-J44),8241,3.8,24.9,18.9
Victoria,2019-2023,Persons,6,Accidental falls (W00-W19),7063,3.2,21.3,15.3
Victoria,2019-2023,Persons,7,"Colorectal cancer (C18-C20, C26.0)",6785,3.1,20.5,16.1
Victoria,2019-2023,Persons,8,Diabetes (E10-E14),6785,3.1,20.5,15.4
Victoria,2019-2023,Persons,9,Heart failure and complications and ill-defined heart disease (I50-I51),5954,2.7,18,12.8
Victoria,2019-2023,Persons,10,"Coronavirus disease 2019 (COVID-19) (U07.1, U07.2, U10.9)",5629,2.6,17,12.4
Victoria,2019-2023,Persons,11,Prostate cancer (C61),4677,2.1,14.1,10.6
Victoria,2019-2023,Persons,12,Kidney failure (N17-N19),4591,2.1,13.9,9.9
Victoria,2019-2023,Persons,13,Pancreatic cancer (C25),4359,2,13.2,10.4
Victoria,2019-2023,Persons,14,Breast cancer (C50),4104,1.9,12.4,10.1
Victoria,2019-2023,Persons,15,Influenza and pneumonia (J09-J18),4101,1.9,12.4,8.8
Victoria,2019-2023,Persons,16,"Other ill-defined causes (R00-R94, R96-R99, I46.9, I95.9, I99, J96.0, J96.9, P28.5)",4031,1.8,12.2,9.6
Victoria,2019-2023,Persons,17,"Suicide (X60-X84, Y87.0)",3610,1.7,10.9,10.6
Victoria,2019-2023,Persons,18,"Cancer of unknown or ill-defined primary site (C26, C39, C76-C80 excl. C26.0)",3456,1.6,10.4,8
Victoria,2019-2023,Persons,19,Cardiac arrhythmias (I47-I49),3161,1.4,9.5,6.6
Victoria,2019-2023,Persons,20,Liver cancer (C22),2839,1.3,8.6,6.9
Queensland,2019-2023,Persons,1,Coronary heart disease (I20-I25),18579,10.8,70.8,56.1
Queensland,2019-2023,Persons,2,"Dementia including Alzheimer's disease (F01, F03, G30)",15847,9.2,60.4,46.6
Queensland,2019-2023,Persons,3,Cerebrovascular disease (I60-I69),9873,5.7,37.6,29.6
Queensland,2019-2023,Persons,4,"Lung cancer (C33, C34)",9655,5.6,36.8,29.2
Queensland,2019-2023,Persons,5,Chronic obstructive pulmonary disease (COPD) (J40-J44),7438,4.3,28.3,22.3
Queensland,2019-2023,Persons,6,"Colorectal cancer (C18-C20, C26.0)",5629,3.3,21.4,17.3
Queensland,2019-2023,Persons,7,Diabetes (E10-E14),5199,3,19.8,15.8
Queensland,2019-2023,Persons,8,Prostate cancer (C61),4104,2.4,15.6,12.3
Queensland,2019-2023,Persons,9,"Suicide (X60-X84, Y87.0)",3946,2.3,15,14.9
Queensland,2019-2023,Persons,10,"Cancer of unknown or ill-defined primary site (C26, C39, C76-C80 excl. C26.0)",3318,1.9,12.6,10
Queensland,2019-2023,Persons,11,Pancreatic cancer (C25),3299,1.9,12.6,10
Queensland,2019-2023,Persons,12,Breast cancer (C50),3100,1.8,11.8,9.7
Queensland,2019-2023,Persons,13,Accidental falls (W00-W19),2532,1.5,9.6,7.6
Queensland,2019-2023,Persons,14,Liver disease (K70-K76),2492,1.4,9.5,8.1
Queensland,2019-2023,Persons,15,Heart failure and complications and ill-defined heart disease (I50-I51),2447,1.4,9.3,7.2
Queensland,2019-2023,Persons,16,Cardiac arrhythmias (I47-I49),2409,1.4,9.2,7.1
Queensland,2019-2023,Persons,17,"Coronavirus disease 2019 (COVID-19) (U07.1, U07.2, U10.9)",2404,1.4,9.2,7.2
Queensland,2019-2023,Persons,18,Influenza and pneumonia (J09-J18),2386,1.4,9.1,7.1
Queensland,2019-2023,Persons,19,Parkinson disease (G20),2365,1.4,9,7.1
Queensland,2019-2023,Persons,20,Liver cancer (C22),2221,1.3,8.5,6.8
Western Australia,2019-2023,Persons,1,Coronary heart disease (I20-I25),8811,10.9,63.9,52
Western Australia,2019-2023,Persons,2,"Dementia including Alzheimer's disease (F01, F03, G30)",7560,9.4,54.8,43.2
Western Australia,2019-2023,Persons,3,Cerebrovascular disease (I60-I69),4155,5.1,30.1,24.3
Western Australia,2019-2023,Persons,4,"Lung cancer (C33, C34)",3957,4.9,28.7,23.7
Western Australia,2019-2023,Persons,5,Chronic obstructive pulmonary disease (COPD) (J40-J44),3177,3.9,23,18.7
Western Australia,2019-2023,Persons,6,Diabetes (E10-E14),2519,3.1,18.3,15
Western Australia,2019-2023,Persons,7,Accidental falls (W00-W19),2511,3.1,18.2,14.6
Western Australia,2019-2023,Persons,8,"Colorectal cancer (C18-C20, C26.0)",2194,2.7,15.9,13.3
Western Australia,2019-2023,Persons,9,"Suicide (X60-X84, Y87.0)",1990,2.5,14.4,14.3
Western Australia,2019-2023,Persons,10,Pancreatic cancer (C25),1620,2,11.7,9.7
Western Australia,2019-2023,Persons,11,Prostate cancer (C61),1550,1.9,11.2,9.1
Western Australia,2019-2023,Persons,12,Breast cancer (C50),1512,1.9,11,9.3
Western Australia,2019-2023,Persons,13,Heart failure and complications and ill-defined heart disease (I50-I51),1336,1.7,9.7,7.7
Western Australia,2019-2023,Persons,14,Influenza and pneumonia (J09-J18),1263,1.6,9.2,7.3
Western Australia,2019-2023,Persons,15,"Cancer of unknown or ill-defined primary site (C26, C39, C76-C80 excl. C26.0)",1189,1.5,8.6,7.1
Western Australia,2019-2023,Persons,16,Accidental poisoning (X40-X49),1154,1.4,8.4,8.3
Western Australia,2019-2023,Persons,17,Liver disease (K70-K76),1100,1.4,8,7
Western Australia,2019-2023,Persons,18,Kidney failure (N17-N19),1096,1.4,7.9,6.3
Western Australia,2019-2023,Persons,19,Cardiac arrhythmias (I47-I49),1072,1.3,7.8,6.1
Western Australia,2019-2023,Persons,20,"Coronavirus disease 2019 (COVID-19) (U07.1, U07.2, U10.9)",1068,1.3,7.7,6.2
South Australia,2019-2023,Persons,1,"Dementia including Alzheimer's disease (F01, F03, G30)",8020,11,88.8,50.9
South Australia,2019-2023,Persons,2,Coronary heart disease (I20-I25),7461,10.2,82.6,51.8
South Australia,2019-2023,Persons,3,Cerebrovascular disease (I60-I69),3636,5,40.2,24.6
South Australia,2019-2023,Persons,4,"Lung cancer (C33, C34)",3511,4.8,38.9,26.4
South Australia,2019-2023,Persons,5,Chronic obstructive pulmonary disease (COPD) (J40-J44),3057,4.2,33.8,21.5
South Australia,2019-2023,Persons,6,"Other ill-defined causes (R00-R94, R96-R99, I46.9, I95.9, I99, J96.0, J96.9, P28.5)",2334,3.2,25.8,17.4
South Australia,2019-2023,Persons,7,Diabetes (E10-E14),2237,3.1,24.8,15.7
South Australia,2019-2023,Persons,8,"Colorectal cancer (C18-C20, C26.0)",2073,2.8,22.9,15.4
South Australia,2019-2023,Persons,9,Accidental falls (W00-W19),1795,2.5,19.9,11.9
South Australia,2019-2023,Persons,10,Pancreatic cancer (C25),1493,2,16.5,11.2
South Australia,2019-2023,Persons,11,Prostate cancer (C61),1467,2,16.2,10
South Australia,2019-2023,Persons,12,Heart failure and complications and ill-defined heart disease (I50-I51),1452,2,16.1,9.5
South Australia,2019-2023,Persons,13,Breast cancer (C50),1306,1.8,14.5,10.2
South Australia,2019-2023,Persons,14,"Cancer of unknown or ill-defined primary site (C26, C39, C76-C80 excl. C26.0)",1286,1.8,14.2,9.2
South Australia,2019-2023,Persons,15,Influenza and pneumonia (J09-J18),1242,1.7,13.7,8.1
South Australia,2019-2023,Persons,16,"Coronavirus disease 2019 (COVID-19) (U07.1, U07.2, U10.9)",1213,1.7,13.4,8.1
South Australia,2019-2023,Persons,17,"Suicide (X60-X84, Y87.0)",1179,1.6,13.1,12.9
South Australia,2019-2023,Persons,18,Kidney failure (N17-N19),1040,1.4,11.5,6.8
South Australia,2019-2023,Persons,19,Cardiac arrhythmias (I47-I49),1007,1.4,11.1,6.4
South Australia,2019-2023,Persons,20,Liver disease (K70-K76),967,1.3,10.7,8.4
Tasmania,2019-2023,Persons,1,Coronary heart disease (I20-I25),2696,11.2,95.7,62.1
Tasmania,2019-2023,Persons,2,"Dementia including Alzheimer's disease (F01, F03, G30)",1983,8.2,70.4,43.3
Tasmania,2019-2023,Persons,3,Chronic obstructive pulmonary disease (COPD) (J40-J44),1347,5.6,47.8,30.4
Tasmania,2019-2023,Persons,4,Cerebrovascular disease (I60-I69),1338,5.6,47.5,30.4
Tasmania,2019-2023,Persons,5,"Lung cancer (C33, C34)",1260,5.2,44.7,29.4
Tasmania,2019-2023,Persons,6,Diabetes (E10-E14),858,3.6,30.5,19.6
Tasmania,2019-2023,Persons,7,"Colorectal cancer (C18-C20, C26.0)",732,3,26,17.5
Tasmania,2019-2023,Persons,8,Accidental falls (W00-W19),627,2.6,22.3,13.9
Tasmania,2019-2023,Persons,9,Prostate cancer (C61),516,2.1,18.3,11.4
Tasmania,2019-2023,Persons,10,Pancreatic cancer (C25),481,2,17.1,11.2
Tasmania,2019-2023,Persons,11,"Suicide (X60-X84, Y87.0)",451,1.9,16,15.3
Tasmania,2019-2023,Persons,12,"Cancer of unknown or ill-defined primary site (C26, C39, C76-C80 excl. C26.0)",446,1.9,15.8,10.2
Tasmania,2019-2023,Persons,13,Hypertensive disease (I10-I15),442,1.8,15.7,9.7
Tasmania,2019-2023,Persons,14,Breast cancer (C50),391,1.6,13.9,9.5
Tasmania,2019-2023,Persons,15,Heart failure and complications and ill-defined heart disease (I50-I51),376,1.6,13.3,8.4
Tasmania,2019-2023,Persons,16,Cardiac arrhythmias (I47-I49),372,1.5,13.2,8.1
Tasmania,2019-2023,Persons,17,Liver disease (K70-K76),340,1.4,12.1,9.1
Tasmania,2019-2023,Persons,18,Influenza and pneumonia (J09-J18),337,1.4,12,7.4
Tasmania,2019-2023,Persons,19,"Coronavirus disease 2019 (COVID-19) (U07.1, U07.2, U10.9)",334,1.4,11.9,7.7
Tasmania,2019-2023,Persons,20,Diseases of the musculoskeletal system and connective tissue (M00-M99),300,1.2,10.7,6.7
Australian Capital Territory,2019-2023,Persons,1,"Dementia including Alzheimer's disease (F01, F03, G30)",1159,10.2,51.4,47.4
Australian Capital Territory,2019-2023,Persons,2,Coronary heart disease (I20-I25),954,8.4,42.3,40
Australian Capital Territory,2019-2023,Persons,3,Cerebrovascular disease (I60-I69),598,5.3,26.5,24.8
Australian Capital Territory,2019-2023,Persons,4,"Lung cancer (C33, C34)",461,4.1,20.4,19.7
Australian Capital Territory,2019-2023,Persons,5,Chronic obstructive pulmonary disease (COPD) (J40-J44),449,3.9,19.9,18.8
Australian Capital Territory,2019-2023,Persons,6,"Colorectal cancer (C18-C20, C26.0)",334,2.9,14.8,14.3
Australian Capital Territory,2019-2023,Persons,7,Diabetes (E10-E14),324,2.8,14.4,13.6
Australian Capital Territory,2019-2023,Persons,8,"Suicide (X60-X84, Y87.0)",268,2.4,11.9,11.6
Australian Capital Territory,2019-2023,Persons,9,Accidental falls (W00-W19),243,2.1,10.8,10
Australian Capital Territory,2019-2023,Persons,10,Breast cancer (C50),242,2.1,10.7,10.3
Australian Capital Territory,2019-2023,Persons,11,Prostate cancer (C61),236,2.1,10.5,9.9
Australian Capital Territory,2019-2023,Persons,12,Pancreatic cancer (C25),233,2,10.3,9.9
Australian Capital Territory,2019-2023,Persons,13,Parkinson disease (G20),230,2,10.2,9.9
Australian Capital Territory,2019-2023,Persons,14,"Coronavirus disease 2019 (COVID-19) (U07.1, U07.2, U10.9)",209,1.8,9.3,8.7
Australian Capital Territory,2019-2023,Persons,15,"Cancer of unknown or ill-defined primary site (C26, C39, C76-C80 excl. C26.0)",202,1.8,9,8.6
Australian Capital Territory,2019-2023,Persons,16,Cardiac arrhythmias (I47-I49),197,1.7,8.7,8
Australian Capital Territory,2019-2023,Persons,17,Heart failure and complications and ill-defined heart disease (I50-I51),180,1.6,8,7.3
Australian Capital Territory,2019-2023,Persons,18,Liver disease (K70-K76),167,1.5,7.4,7.3
Australian Capital Territory,2019-2023,Persons,19,"Other ill-defined causes (R00-R94, R96-R99, I46.9, I95.9, I99, J96.0, J96.9, P28.5)",144,1.3,6.4,6
Australian Capital Territory,2019-2023,Persons,20,Influenza and pneumonia (J09-J18),141,1.2,6.2,5.8
Northern Territory,2019-2023,Persons,1,Coronary heart disease (I20-I25),595,9.8,47.8,67.5
Northern Territory,2019-2023,Persons,2,Diabetes (E10-E14),460,7.6,37,51.9
Northern Territory,2019-2023,Persons,3,"Lung cancer (C33, C34)",360,5.9,28.9,40.2
Northern Territory,2019-2023,Persons,4,Chronic obstructive pulmonary disease (COPD) (J40-J44),343,5.6,27.6,43.3
Northern Territory,2019-2023,Persons,5,"Dementia including Alzheimer's disease (F01, F03, G30)",306,5,24.6,57.5
Northern Territory,2019-2023,Persons,6,"Suicide (X60-X84, Y87.0)",241,4,19.4,19.5
Northern Territory,2019-2023,Persons,7,Cerebrovascular disease (I60-I69),197,3.2,15.8,27.1
Northern Territory,2019-2023,Persons,8,"Land transport accidents (V01-V89, Y85)",184,3,14.8,14.1
Northern Territory,2019-2023,Persons,9,"Certain conditions originating in the perinatal period, congenital malformations, deformations and chromosomal abnormalities (P00-P96, Q00-Q99 excl. P28.5)",145,2.4,11.6,11.2
Northern Territory,2019-2023,Persons,10,Liver disease (K70-K76),130,2.1,10.4,11.4
Northern Territory,2019-2023,Persons,11,"Colorectal cancer (C18-C20, C26.0)",125,2.1,10,14.6
Northern Territory,2019-2023,Persons,12,Liver cancer (C22),119,2,9.6,12.1
Northern Territory,2019-2023,Persons,13,Pancreatic cancer (C25),117,1.9,9.4,12.9
Northern Territory,2019-2023,Persons,14,"Cancer of unknown or ill-defined primary site (C26, C39, C76-C80 excl. C26.0)",113,1.9,9.1,13.5
Northern Territory,2019-2023,Persons,15,Kidney failure (N17-N19),109,1.8,8.8,13.7
Northern Territory,2019-2023,Persons,16,Hypertensive disease (I10-I15),88,1.4,7.1,11.3
Northern Territory,2019-2023,Persons,17,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",85,1.4,6.8,8.7
Northern Territory,2019-2023,Persons,18,Breast cancer (C50),84,1.4,6.7,9.3
Northern Territory,2019-2023,Persons,19,Influenza and pneumonia (J09-J18),79,1.3,6.3,9.6
Northern Territory,2019-2023,Persons,20,Prostate cancer (C61),76,1.2,6.1,11.4
Other Territories,2019-2023,Persons,1,Coronary heart disease (I20-I25),16,12.9,65.8,
Other Territories,2019-2023,Persons,2,Prostate cancer (C61),8,6.5,32.9,
Other Territories,2019-2023,Persons,3,"Lung cancer (C33, C34)",7,5.6,28.8,
Other Territories,2019-2023,Persons,4,Heart failure and complications and ill-defined heart disease (I50-I51),7,5.6,28.8,
Other Territories,2019-2023,Persons,5,"Cancer of unknown or ill-defined primary site (C26, C39, C76-C80 excl. C26.0)",6,4.8,24.7,
Other Territories,2019-2023,Persons,6,Diabetes (E10-E14),6,4.8,24.7,
Other Territories,2019-2023,Persons,7,Cerebrovascular disease (I60-I69),6,4.8,24.7,
Other Territories,2019-2023,Persons,8,Kidney failure (N17-N19),6,4.8,24.7,
Other Territories,2019-2023,Persons,9,"Colorectal cancer (C18-C20, C26.0)",4,3.2,16.4,
Other Territories,2019-2023,Persons,10,"Dementia including Alzheimer's disease (F01, F03, G30)",4,3.2,16.4,
Other Territories,2019-2023,Persons,11,"Other ill-defined causes (R00-R94, R96-R99, I46.9, I95.9, I99, J96.0, J96.9, P28.5)",4,3.2,16.4,
Other Territories,2019-2023,Persons,12,Pancreatic cancer (C25),3,2.4,12.3,
Other Territories,2019-2023,Persons,13,Breast cancer (C50),3,2.4,12.3,
Other Territories,2019-2023,Persons,14,Cardiac arrhythmias (I47-I49),3,2.4,12.3,
Other Territories,2019-2023,Persons,15,"Certain conditions originating in the perinatal period, congenital malformations, deformations and chromosomal abnormalities (P00-P96, Q00-Q99 excl. P28.5)",3,2.4,12.3,
Other Territories,2019-2023,Persons,16,Melanoma of the skin (C43),2,1.6,8.2,
Other Territories,2019-2023,Persons,17,Malignant neoplasms of mesothelial and soft tissue (C45-C49),2,1.6,8.2,
Other Territories,2019-2023,Persons,18,Hypertensive disease (I10-I15),2,1.6,8.2,
Other Territories,2019-2023,Persons,19,"Coronavirus disease 2019 (COVID-19) (U07.1, U07.2, U10.9)",2,1.6,8.2,
Other Territories,2019-2023,Persons,20,Septicaemia (A40-A41),1,0.8,4.1,
Australia (total),2019-2023,Persons,1,Coronary heart disease (I20-I25),87989,10.1,68,50.9
Australia (total),2019-2023,Persons,2,"Dementia including Alzheimer's disease (F01, F03, G30)",79666,9.1,61.6,43.5
Australia (total),2019-2023,Persons,3,Cerebrovascular disease (I60-I69),48435,5.5,37.4,27.5
Australia (total),2019-2023,Persons,4,"Lung cancer (C33, C34)",43935,5,34,26.5
Australia (total),2019-2023,Persons,5,Chronic obstructive pulmonary disease (COPD) (J40-J44),36100,4.1,27.9,21.1
Australia (total),2019-2023,Persons,6,Diabetes (E10-E14),27636,3.2,21.4,16.2
Australia (total),2019-2023,Persons,7,"Colorectal cancer (C18-C20, C26.0)",26650,3.1,20.6,16.1
Australia (total),2019-2023,Persons,8,Accidental falls (W00-W19),18737,2.1,14.5,10.5
Australia (total),2019-2023,Persons,9,Prostate cancer (C61),18356,2.1,14.2,10.5
Australia (total),2019-2023,Persons,10,Heart failure and complications and ill-defined heart disease (I50-I51),18343,2.1,14.2,10.2
Australia (total),2019-2023,Persons,11,Pancreatic cancer (C25),17272,2,13.4,10.4
Australia (total),2019-2023,Persons,12,"Coronavirus disease 2019 (COVID-19) (U07.1, U07.2, U10.9)",16887,1.9,13.1,9.6
Australia (total),2019-2023,Persons,13,"Suicide (X60-X84, Y87.0)",16260,1.9,12.6,12.4
Australia (total),2019-2023,Persons,14,Breast cancer (C50),16001,1.8,12.4,9.9
Australia (total),2019-2023,Persons,15,"Cancer of unknown or ill-defined primary site (C26, C39, C76-C80 excl. C26.0)",15578,1.8,12,9.2
Australia (total),2019-2023,Persons,16,"Other ill-defined causes (R00-R94, R96-R99, I46.9, I95.9, I99, J96.0, J96.9, P28.5)",13960,1.6,10.8,8.4
Australia (total),2019-2023,Persons,17,Influenza and pneumonia (J09-J18),13724,1.6,10.6,7.6
Australia (total),2019-2023,Persons,18,Kidney failure (N17-N19),13571,1.6,10.5,7.6
Australia (total),2019-2023,Persons,19,Cardiac arrhythmias (I47-I49),12949,1.5,10,7.1
Australia (total),2019-2023,Persons,20,Hypertensive disease (I10-I15),12096,1.4,9.4,6.7
